code,rank,visa_free_count,year
CG,72,0,2007
CG,69,27,2006
CG,94,47,2019
CG,95,48,2022
CG,94,49,2023
CG,89,52,2024
CG,85,48,2025
CD,106,42,2021
CD,97,42,2020
CD,98,43,2018
CD,94,40,2017
CD,96,39,2016
CD,102,37,2015
CD,87,40,2014
CD,87,39,2013
CD,95,38,2012
CD,96,34,2011
CD,90,36,2010
CD,89,0,2009
CD,90,0,2008
CD,97,42,2019
CD,101,42,2022
CD,100,42,2023
CD,94,46,2024
CD,89,43,2025
CR,32,149,2021
CR,28,149,2018
CR,30,150,2020
CR,31,134,2017
CR,33,131,2016
CR,32,127,2015
CR,27,125,2014
CR,31,122,2013
CR,38,117,2012
CR,36,120,2011
CR,37,114,2010
CR,29,0,2009
CR,29,108,2008
CR,27,150,2019
CR,26,0,2007
CR,23,95,2006
CR,30,150,2022
CR,32,150,2023
CR,28,152,2024
CR,26,149,2025
CI,92,56,2021
CI,83,57,2020
CI,85,56,2018
CI,83,53,2017
CI,81,56,2016
CI,85,54,2015
CI,72,56,2014
CI,72,55,2013
CI,79,54,2012
CI,79,52,2011
CI,72,0,2010
CI,65,0,2009
CI,65,0,2008
CI,84,57,2019
CI,87,56,2022
CI,65,0,2007
CI,65,0,2006
CI,87,57,2023
CI,83,59,2024
CI,75,59,2025
HR,18,172,2021
HR,18,169,2018
HR,17,171,2020
HR,21,153,2017
HR,24,149,2016
HR,24,141,2015
HR,22,138,2014
HR,26,129,2013
HR,37,119,2012
HR,34,122,2011
HR,35,116,2010
HR,29,0,2009
HR,29,108,2008
HR,18,168,2019
HR,28,0,2007
HR,28,84,2006
HR,17,173,2022
HR,18,174,2023
HR,13,179,2024
HR,9,183,2025
CU,85,63,2021
CU,76,64,2020
CU,76,65,2018
CU,76,60,2017
CU,78,59,2016
CU,81,59,2015
CU,69,61,2014
CU,66,61,2013
CU,77,56,2012
CU,79,52,2011
CU,78,49,2010
CU,70,0,2009
CU,70,42,2008
CU,69,0,2007
CU,69,27,2006
CU,77,65,2019
CU,79,64,2022
CU,80,65,2023
CU,78,64,2024
CU,74,60,2025
CY,15,176,2021
CY,15,173,2018
CY,15,174,2020
CY,16,158,2017
CY,17,159,2016
CY,16,157,2015
CY,14,157,2014
CY,15,151,2013
CY,20,146,2012
CY,18,150,2011
CY,18,142,2010
CY,14,0,2009
CY,14,139,2008
CY,14,173,2019
CY,13,0,2007
CY,12,113,2006
CY,14,176,2022
CY,16,177,2023
CY,12,182,2024
CY,12,178,2025
CZ,7,185,2021
CZ,8,182,2018
CZ,8,184,2020
CZ,9,168,2017
CZ,10,167,2016
CZ,10,163,2015
CZ,10,162,2014
CZ,12,155,2013
CZ,15,152,2012
CZ,15,155,2011
CZ,18,142,2010
CZ,17,0,2009
CZ,17,131,2008
CZ,7,183,2019
CZ,19,0,2007
CZ,21,98,2006
CZ,7,185,2022
CZ,7,186,2023
CZ,6,189,2024
CZ,7,185,2025
DK,4,188,2021
DK,4,187,2018
DK,3,187,2019
DK,5,187,2020
DK,3,174,2017
DK,4,174,2016
DK,3,171,2015
DK,2,173,2014
DK,2,172,2013
DK,1,169,2012
DK,1,173,2011
DK,2,164,2010
DK,1,0,2009
DK,1,157,2008
DK,1,0,2007
DK,1,130,2006
DK,4,188,2022
DK,5,188,2023
DK,3,192,2024
DK,3,189,2025
DJ,101,47,2021
DJ,93,47,2020
DJ,96,45,2018
DJ,94,40,2017
DJ,93,44,2016
DJ,98,41,2015
DJ,86,42,2014
DJ,86,40,2013
DJ,96,37,2012
DJ,95,35,2011
DJ,91,35,2010
DJ,84,0,2009
DJ,84,28,2008
DJ,80,0,2007
DJ,77,19,2006
DJ,95,46,2019
DJ,96,47,2022
DJ,95,48,2023
DJ,91,50,2024
DJ,86,47,2025
DM,36,143,2021
DM,37,137,2018
DM,35,141,2020
DM,40,119,2017
DM,41,119,2016
DM,42,113,2015
DM,45,91,2014
DM,46,87,2013
DM,54,85,2012
DM,54,82,2011
DM,51,80,2010
DM,44,0,2009
DM,44,71,2008
DM,35,137,2019
DM,45,0,2007
DM,46,52,2006
DM,33,144,2022
DM,35,145,2023
DM,34,144,2024
DM,30,144,2025
DO,79,69,2021
DO,74,66,2020
DO,75,66,2018
DO,80,56,2017
DO,83,54,2016
DO,88,51,2015
DO,75,53,2014
DO,74,53,2013
DO,83,50,2012
DO,83,48,2011
DO,77,50,2010
DO,69,0,2009
DO,69,43,2008
DO,70,0,2007
DO,71,25,2006
DO,78,64,2019
DO,73,70,2022
DO,76,70,2023
DO,68,74,2024
DO,65,73,2025
EC,63,91,2021
EC,55,93,2018
EC,55,91,2020
EC,57,83,2017
EC,58,81,2016
EC,64,78,2015
EC,54,78,2014
EC,54,74,2013
EC,64,70,2012
EC,63,69,2011
EC,64,65,2010
EC,55,0,2009
EC,55,58,2008
EC,58,91,2019
EC,55,0,2007
EC,56,41,2006
EC,56,91,2022
EC,59,92,2023
EC,57,95,2024
EC,49,94,2025
EG,97,51,2021
EG,90,50,2020
EG,92,49,2018
EG,88,48,2017
EG,88,49,2016
EG,92,47,2015
EG,80,48,2014
EG,79,47,2013
EG,89,44,2012
EG,89,41,2011
EG,84,0,2010
EG,78,0,2009
EG,78,0,2008
EG,92,49,2019
EG,91,52,2022
EG,90,53,2023
EG,87,55,2024
EG,84,49,2025
SV,41,133,2021
SV,37,137,2018
SV,37,134,2020
SV,39,120,2017
SV,43,115,2016
SV,43,112,2015
SV,33,112,2014
SV,35,113,2013
SV,40,111,2012
SV,38,113,2011
SV,42,105,2010
SV,32,0,2009
SV,32,98,2008
SV,37,134,2019
SV,31,0,2007
SV,31,81,2006
SV,37,134,2022
SV,40,132,2023
SV,39,136,2024
SV,33,135,2025
GQ,93,55,2021
GQ,85,55,2020
GQ,89,52,2018
GQ,89,46,2017
GQ,92,45,2016
GQ,97,42,2015
GQ,85,43,2014
GQ,84,42,2013
GQ,93,40,2012
GQ,93,37,2011
GQ,89,37,2010
GQ,82,0,2009
GQ,82,30,2008
GQ,79,0,2007
GQ,76,20,2006
GQ,89,52,2019
GQ,88,55,2022
GQ,88,55,2023
GQ,84,58,2024
GQ,78,56,2025
ER,105,43,2021
ER,97,42,2020
ER,102,39,2018
ER,98,35,2017
ER,98,37,2016
ER,105,34,2015
ER,89,38,2014
ER,90,36,2013
ER,99,34,2012
ER,98,32,2011
ER,93,33,2010
ER,83,0,2009
ER,83,29,2008
ER,79,0,2007
ER,76,20,2006
ER,99,40,2019
ER,100,43,2022
ER,98,44,2023
ER,96,43,2024
ER,93,39,2025
EE,11,181,2021
EE,12,178,2018
EE,13,179,2020
EE,13,164,2017
EE,14,162,2016
EE,15,158,2015
EE,14,157,2014
EE,14,152,2013
EE,18,149,2012
EE,17,153,2011
EE,19,140,2010
EE,20,0,2009
EE,20,127,2008
EE,11,179,2019
EE,23,0,2007
EE,26,91,2006
EE,10,181,2022
EE,12,181,2023
EE,8,187,2024
EE,8,184,2025
ET,103,45,2021
ET,95,44,2020
ET,99,42,2018
ET,96,37,2017
ET,98,37,2016
ET,104,35,2015
ET,88,39,2014
ET,85,41,2013
ET,96,37,2012
ET,96,34,2011
ET,92,34,2010
ET,83,0,2009
ET,83,29,2008
ET,80,0,2007
ET,78,18,2006
ET,97,42,2019
ET,98,45,2022
ET,97,46,2023
ET,93,47,2024
ET,87,45,2025
FJ,65,88,2021
FJ,57,88,2020
FJ,56,90,2018
FJ,61,79,2017
FJ,58,81,2016
FJ,62,80,2015
FJ,52,81,2014
FJ,51,78,2013
FJ,59,77,2012
FJ,57,76,2011
FJ,57,72,2010
FJ,49,0,2009
FJ,49,66,2008
FJ,50,0,2007
FJ,51,47,2006
FJ,59,88,2019
FJ,58,88,2022
FJ,62,88,2023
FJ,59,91,2024
FJ,52,90,2025
FI,3,189,2021
FI,4,187,2018
FI,2,188,2019
FI,4,188,2020
FI,3,174,2017
FI,3,175,2016
FI,2,172,2015
FI,1,174,2014
FI,1,173,2013
FI,2,168,2012
FI,1,173,2011
FI,4,162,2010
FI,2,0,2009
FI,2,156,2008
FI,1,0,2007
FI,1,130,2006
FI,3,189,2022
FI,4,189,2023
FI,2,193,2024
FI,3,189,2025
FR,5,187,2021
FR,3,188,2018
FR,4,186,2019
FR,6,186,2020
FR,4,173,2017
FR,3,175,2016
FR,3,171,2015
FR,3,172,2014
FR,4,170,2013
FR,3,167,2012
FR,3,171,2011
FR,5,161,2010
FR,6,0,2009
FR,6,152,2008
FR,4,0,2007
FR,3,128,2006
FR,4,188,2022
FR,6,187,2023
FR,1,194,2024
FR,3,189,2025
GA,91,57,2021
GA,83,57,2020
GA,86,55,2018
GA,86,50,2017
GA,88,49,2016
GA,92,47,2015
GA,81,47,2014
GA,79,47,2013
GA,88,45,2012
GA,88,42,2011
GA,85,42,2010
GA,77,0,2009
GA,77,35,2008
GA,74,0,2007
GA,72,24,2006
GA,85,56,2019
GA,86,57,2022
GA,87,57,2023
GA,81,61,2024
GA,76,58,2025
GM,80,68,2021
GM,72,68,2020
GM,74,68,2018
GM,71,66,2017
GM,71,67,2016
GM,75,66,2015
GM,61,70,2014
GM,60,68,2013
GM,63,71,2012
GM,63,69,2011
GM,61,68,2010
GM,52,0,2009
GM,52,62,2008
GM,48,0,2007
GM,45,53,2006
GM,74,69,2019
GM,75,68,2022
GM,77,69,2023
GM,72,70,2024
GM,66,71,2025
GE,55,115,2021
GE,50,112,2018
GE,49,115,2020
GE,68,69,2017
GE,71,67,2016
GE,79,61,2015
GE,68,62,2014
GE,67,60,2013
GE,73,60,2012
GE,73,58,2011
GE,72,56,2010
GE,66,0,2009
GE,66,46,2008
GE,50,114,2019
GE,67,0,2007
GE,68,28,2006
GE,48,115,2022
GE,50,116,2023
GE,50,121,2024
GE,40,123,2025
DE,2,190,2021
DE,3,188,2018
DE,2,188,2019
DE,3,189,2020
DE,1,176,2017
DE,1,177,2016
DE,1,173,2015
DE,1,174,2014
DE,2,172,2013
DE,2,168,2012
DE,2,172,2011
DE,5,161,2010
DE,3,0,2009
DE,3,155,2008
DE,2,0,2007
DE,2,129,2006
DE,2,190,2022
DE,3,190,2023
DE,1,194,2024
DE,3,189,2025
GH,84,64,2021
GH,75,65,2020
GH,78,63,2018
GH,77,59,2017
GH,73,64,2016
GH,79,61,2015
GH,67,63,2014
GH,66,61,2013
GH,71,62,2012
GH,70,62,2011
GH,67,62,2010
GH,58,0,2009
GH,58,55,2008
GH,55,0,2007
GH,53,45,2006
GH,77,65,2019
GH,79,64,2022
GH,80,65,2023
GH,76,66,2024
GH,68,69,2025
GR,7,185,2021
GR,7,183,2018
GR,8,184,2020
GR,6,171,2017
GR,7,171,2016
GR,7,167,2015
GR,6,169,2014
GR,6,167,2013
GR,7,162,2012
GR,8,166,2011
GR,12,153,2010
GR,9,0,2009
GR,9,149,2008
GR,6,184,2019
GR,9,0,2007
GR,9,120,2006
GR,7,185,2022
GR,8,185,2023
GR,5,190,2024
GR,5,187,2025
GD,35,144,2021
GD,33,144,2018
GD,33,144,2020
GD,37,124,2017
GD,39,121,2016
GD,40,117,2015
GD,45,91,2014
GD,45,88,2013
GD,52,87,2012
GD,51,86,2011
GD,49,83,2010
GD,41,0,2009
GD,41,79,2008
GD,32,142,2019
GD,41,0,2007
GD,41,60,2006
GD,33,144,2022
GD,34,146,2023
GD,32,148,2024
GD,28,147,2025
GT,42,132,2021
GT,37,137,2018
GT,38,133,2020
GT,40,119,2017
GT,42,116,2016
GT,42,113,2015
GT,32,114,2014
GT,34,114,2013
GT,42,109,2012
GT,39,112,2011
GT,42,105,2010
GT,31,0,2009
GT,31,100,2008
GT,38,132,2019
GT,30,0,2007
GT,30,82,2006
GT,38,133,2022
GT,39,133,2023
GT,38,137,2024
GT,34,134,2025
GN,94,54,2021
GN,85,55,2020
GN,85,56,2018
GN,88,48,2017
GN,91,46,2016
GN,96,43,2015
GN,74,54,2014
GN,73,53,2013
GN,83,50,2012
GN,79,52,2011
GN,75,52,2010
GN,66,0,2009
GN,66,46,2008
GN,63,0,2007
GN,60,37,2006
GN,85,56,2019
GN,89,54,2022
GN,88,55,2023
GN,83,59,2024
GN,77,57,2025
GW,96,52,2021
GW,87,53,2020
GW,88,53,2018
GW,87,49,2017
GW,86,51,2016
GW,93,46,2015
GW,79,49,2014
GW,78,48,2013
GW,83,50,2012
GW,83,48,2011
GW,79,48,2010
GW,70,0,2009
GW,70,42,2008
GW,66,0,2007
GW,63,33,2006
GW,87,54,2019
GW,91,52,2022
GW,90,53,2023
GW,86,56,2024
GW,80,54,2025
GY,66,87,2021
GY,57,88,2020
GY,57,88,2018
GY,59,81,2017
GY,57,82,2016
GY,62,80,2015
GY,52,81,2014
GY,51,78,2013
GY,60,76,2012
