year,estimate,code
1996,1.34,IE
1996,-1.15,IL
1996,1.11,IT
1996,0.11,JM
1996,1.16,JP
1996,-0.04,JO
1996,-0.37,KZ
1996,-0.66,KE
1996,..,KI
1996,-0.51,KP
1996,0.57,KR
1996,..,XK
1996,0.17,KW
1996,-0.17,KG
1996,0.37,LA
1996,0.56,LV
1996,-0.67,LB
1996,0.23,LS
1996,-2.44,LR
1996,-0.99,LY
1996,1.17,LI
1996,0.52,LT
1996,1.38,LU
1996,0.26,MO
1996,0.22,MG
1996,-0.46,MW
1996,0.57,MY
1996,0.88,MV
1996,0.37,ML
1996,1.33,MT
1996,..,MH
1996,0.37,MR
1996,1.09,MU
1996,-0.93,MX
1996,..,FM
1996,0.01,MD
1996,..,MC
1996,0.75,MN
1996,..,ME
1996,-0.21,MA
1996,-0.05,MZ
1996,-1.26,MM
1996,0.85,NA
1996,..,NR
1996,-0.07,NP
1996,1.53,NL
1996,1.34,NZ
1996,-0.52,NI
1996,0.03,NE
1996,-1.06,NG
1996,..,NU
1996,-0.48,MK
1996,1.46,NO
1996,0.87,OM
1996,-1.13,PK
1996,..,PW
1996,0.12,PA
1996,-0.78,PG
1996,-0.46,PY
1996,-1.06,PE
1996,-0.48,PH
1996,0.83,PL
1996,1.29,PT
1996,0.26,PR
1996,0.36,QA
1996,0.60,RO
1996,-1.18,RU
1996,-1.85,RW
1996,..,RE
1996,1.32,WS
1996,..,SM
1996,-0.19,SA
1996,-0.60,SN
1996,-1.03,RS
1996,1.05,SC
1996,-1.70,SL
1996,1.12,SG
1996,0.88,SK
1996,1.31,SI
1996,1.04,SB
1996,-2.51,SO
1996,-0.38,ZA
1996,..,SS
1996,0.17,ES
1996,-1.78,LK
1996,..,KN
1996,1.04,LC
1996,1.04,VC
1996,-2.48,SD
1996,0.44,SR
1996,1.46,SE
1996,1.46,CH
1996,-0.35,SY
1996,1.05,ST
1996,1.06,TW
1996,-2.12,TJ
1996,-0.63,TZ
1996,0.47,TH
1996,..,TL
1996,-0.38,TG
1996,..,TO
1996,0.27,TT
1996,0.26,TN
1996,0.45,TM
1996,..,TV
1996,-1.26,TR
1996,-1.53,UG
1996,-0.15,UA
1996,0.96,AE
1996,0.98,GB
1996,0.94,US
1996,0.62,UY
1996,-0.54,UZ
1996,1.04,VU
1996,-0.58,VE
1996,0.53,VN
1996,..,VI
1996,-1.41,PS
1996,-1.31,YE
1996,-0.16,ZM
1996,-0.47,ZW
1996,-1.79,AF
1996,-0.68,AL
1996,-1.22,DZ
1996,..,AS
1996,1.16,AD
1996,-1.63,AO
1996,..,AI
1996,1.05,AG
1996,0.08,AR
1996,-0.47,AM
1996,..,AW
1996,1.71,AU
1996,1.81,AT
1996,-1.20,AZ
1996,1.15,BS
1996,-0.01,BH
1996,-0.93,BD
1996,1.05,BB
1996,-0.80,BY
1996,1.37,BE
1996,0.08,BZ
1996,0.05,BJ
1996,1.21,BM
1996,-0.03,BT
1996,-0.26,BO
1996,-0.24,BA
1996,0.58,BW
1996,-0.22,BR
1996,0.82,BN
1996,-0.34,BG
1996,-0.93,BF
1996,-1.42,BI
1996,-1.19,KH
1996,-1.44,CM
1996,1.65,CA
1996,1.04,CV
1996,1.46,KY
1996,-1.15,CF
1996,-1.26,TD
1996,1.11,CL
1996,-0.55,CN
1996,-0.75,CO
1996,-1.88,CD
1996,-1.04,CG
1996,..,CK
1996,0.62,CR
1996,-0.63,HR
1996,-1.14,CU
1996,0.86,CY
1996,0.92,CZ
1996,-0.79,CI
1996,1.82,DK
1996,-0.97,DJ
1996,0.84,DM
1996,-0.52,DO
1996,-0.45,EC
1996,0.00,EG
1996,-0.87,SV
1996,-1.28,GQ
1996,-0.66,ER
1996,0.57,EE
1996,-0.47,SZ
1996,-0.97,ET
1996,0.32,FJ
1996,1.91,FI
1996,1.48,FR
1996,0.96,GF
1996,-0.65,GA
1996,0.02,GM
1996,-1.26,GE
1996,1.61,DE
1996,-0.23,GH
1996,1.05,GR
1996,..,GL
1996,0.43,GD
1996,..,GU
1996,-1.13,GT
1996,-1.45,GN
1996,-1.67,GW
1996,-0.20,GY
1996,-1.39,HT
1996,-0.93,HN
1996,0.75,HK
1996,0.91,HU
1996,1.60,IS
1996,0.31,IN
1996,-0.49,ID
1996,-0.94,IR
1996,-1.56,IQ
1996,1.50,IE
1996,1.28,IL
1996,1.06,IT
1996,-0.34,JM
1996,1.35,JP
1996,0.28,JO
1996,-1.19,KZ
1996,-1.02,KE
1996,0.81,KI
1996,-1.15,KP
1996,0.80,KR
1996,..,XK
1996,0.60,KW
1996,-0.73,KG
1996,-1.05,LA
1996,0.13,LV
1996,-0.28,LB
1996,0.10,LS
1996,-1.93,LR
1996,-1.18,LY
1996,1.47,LI
1996,0.45,LT
1996,1.71,LU
1996,0.21,MO
1996,-0.40,MG
1996,-0.38,MW
1996,0.52,MY
1996,0.02,MV
1996,-0.30,ML
1996,1.05,MT
1996,-0.20,MH
1996,-0.50,MR
1996,0.90,MU
1996,-0.73,MX
1996,0.81,FM
1996,-0.12,MD
1996,0.81,MC
1996,0.20,MN
1996,..,ME
1996,0.22,MA
1996,-0.81,MZ
1996,-1.58,MM
1996,0.25,NA
1996,0.81,NR
1996,-0.01,NP
1996,1.70,NL
1996,1.86,NZ
1996,-0.52,NI
1996,-0.66,NE
1996,-1.29,NG
1996,..,NU
1996,-0.31,MK
1996,1.92,NO
1996,0.55,OM
1996,-0.63,PK
1996,0.81,PW
1996,-0.17,PA
1996,-0.62,PG
1996,-0.66,PY
1996,-0.70,PE
1996,0.07,PH
1996,0.77,PL
1996,1.29,PT
1996,0.96,PR
1996,-0.04,QA
1996,-0.02,RO
1996,-0.79,RU
1996,-1.50,RW
1996,..,RE
1996,0.95,WS
1996,0.81,SM
1996,0.11,SA
1996,-0.18,SN
1996,-1.26,RS
1996,0.60,SC
1996,-1.38,SL
1996,1.24,SG
1996,0.16,SK
1996,1.07,SI
1996,0.74,SB
1996,-2.14,SO
1996,0.09,ZA
1996,..,SS
1996,1.44,ES
1996,0.16,LK
1996,0.81,KN
1996,0.81,LC
1996,0.81,VC
1996,-1.71,SD
1996,-0.08,SR
1996,1.80,SE
1996,1.93,CH
1996,-0.55,SY
1996,0.27,ST
1996,0.76,TW
1996,-1.65,TJ
1996,-0.19,TZ
1996,0.54,TH
1996,-1.57,TL
1996,-0.73,TG
1996,0.81,TO
1996,0.53,TT
1996,-0.30,TN
1996,-1.49,TM
1996,0.81,TV
1996,-0.14,TR
1996,-0.58,UG
1996,-0.82,UA
1996,0.69,AE
1996,1.63,GB
1996,1.50,US
1996,0.56,UY
1996,-1.24,UZ
1996,0.32,VU
1996,-0.75,VE
1996,-0.48,VN
1996,..,VI
1996,-0.04,PS
1996,-1.38,YE
1996,-0.53,ZM
1996,-0.81,ZW
1996,-2.09,AF
1996,-0.47,AL
1996,-0.91,DZ
1996,..,AS
1996,1.27,AD
1996,-1.42,AO
1996,..,AI
1996,0.79,AG
1996,0.52,AR
1996,-0.28,AM
1996,..,AW
1996,1.37,AU
1996,1.66,AT
1996,-1.20,AZ
1996,0.97,BS
1996,0.79,BH
1996,-0.93,BD
1996,1.29,BB
1996,-1.09,BY
1996,1.21,BE
1996,0.14,BZ
1996,-0.18,BJ
1996,1.51,BM
1996,-0.41,BT
1996,0.00,BO
1996,-0.91,BA
1996,0.65,BW
1996,0.30,BR
1996,1.35,BN
1996,-0.18,BG
1996,-0.30,BF
1996,-1.64,BI
1996,-0.23,KH
1996,-1.12,CM
1996,1.49,CA
1996,-0.53,CV
1996,1.03,KY
1996,-0.89,CF
1996,-1.23,TD
1996,1.54,CL
1996,-0.27,CN
1996,-0.11,CO
1996,-1.76,CD
1996,-1.23,CG
1996,..,CK
1996,0.55,CR
1996,-0.17,HR
1996,-1.10,CU
1996,1.26,CY
1996,1.07,CZ
1996,-0.40,CI
1996,1.78,DK
1996,-1.00,DJ
1996,1.03,DM
1996,-0.23,DO
1996,-0.31,EC
1996,-0.05,EG
1996,-0.19,SV
1996,-1.44,GQ
1996,-1.13,ER
1996,1.24,EE
1996,-0.27,SZ
1996,-1.30,ET
1996,0.03,FJ
1996,1.55,FI
1996,1.05,FR
1996,1.03,GF
1996,0.14,GA
1996,-0.84,GM
1996,-1.01,GE
1996,1.48,DE
1996,-0.34,GH
1996,0.54,GR
1996,..,GL
1996,0.55,GD
1996,..,GU
1996,-0.31,GT
1996,-0.84,GN
1996,-0.83,GW
1996,-0.17,GY
1996,-0.91,HT
1996,-0.69,HN
1996,1.68,HK
1996,0.85,HU
1996,1.25,IS
1996,-0.55,IN
1996,-0.05,ID
1996,-1.42,IR
1996,-2.15,IQ
1996,1.51,IE
1996,1.08,IL
1996,0.86,IT
1996,0.20,JM
1996,0.77,JP
1996,0.02,JO
1996,-0.33,KZ
1996,-0.31,KE
1996,..,KI
1996,-2.28,KP
1996,0.45,KR
1996,..,XK
1996,0.31,KW
1996,-0.30,KG
1996,-1.04,LA
1996,0.90,LV
1996,-0.41,LB
1996,-0.29,LS
1996,-1.83,LR
1996,-1.74,LY
1996,1.51,LI
1996,1.08,LT
1996,1.76,LU
1996,0.55,MO
1996,-0.91,MG
1996,-0.29,MW
1996,0.78,MY
1996,1.03,MV
1996,-0.53,ML
1996,0.97,MT
1996,..,MH
1996,-0.40,MR
1996,-0.12,MU
1996,0.13,MX
1996,..,FM
1996,-0.07,MD
1996,..,MC
1996,-0.17,MN
1996,..,ME
1996,-0.10,MA
1996,-0.52,MZ
1996,-1.68,MM
1996,0.36,NA
1996,..,NR
1996,-0.40,NP
1996,1.84,NL
1996,1.89,NZ
1996,-0.44,NI
1996,-0.98,NE
1996,-0.97,NG
1996,..,NU
1996,-0.35,MK
1996,1.53,NO
1996,0.09,OM
1996,-0.51,PK
1996,..,PW
1996,0.65,PA
1996,-0.43,PG
1996,-0.49,PY
1996,0.49,PE
1996,0.02,PH
1996,0.72,PL
1996,1.22,PT
1996,1.27,PR
1996,0.17,QA
1996,0.03,RO
1996,-0.43,RU
1996,-1.34,RW
1996,..,RE
1996,0.03,WS
1996,..,SM
1996,-0.31,SA
1996,-0.13,SN
1996,-0.72,RS
1996,0.31,SC
1996,-1.53,SL
1996,2.18,SG
1996,0.67,SK
1996,1.09,SI
1996,..,SB
1996,-2.35,SO
1996,0.52,ZA
1996,..,SS
1996,1.18,ES
1996,0.06,LK
1996,..,KN
1996,..,LC
1996,..,VC
1996,-1.36,SD
1996,-0.54,SR
1996,1.32,SE
1996,1.56,CH
1996,-1.07,SY
